Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1071.004  - ,3,2024-06-19T11:06:40+02:00,2024-06-19T11:07:04+02:00,0
T1071.004  - ,4,2024-06-19T11:07:07+02:00,2024-06-19T11:07:09+02:00,0
T1072  - ,1,2024-06-19T11:07:12+02:00,2024-06-19T11:07:12+02:00,1
T1072  - ,2,2024-06-19T11:07:14+02:00,2024-06-19T11:07:14+02:00,1
T1072  - ,3,2024-06-19T11:07:16+02:00,2024-06-19T11:07:16+02:00,0
T1074.001  - ,1,2024-06-19T11:07:18+02:00,2024-06-19T11:07:19+02:00,0
T1074.001  - ,2,2024-06-19T11:07:21+02:00,2024-06-19T11:07:22+02:00,0
T1078.001  - ,1,2024-06-19T11:07:24+02:00,2024-06-19T11:07:24+02:00,0
T1078.001  - ,2,2024-06-19T11:07:26+02:00,2024-06-19T11:07:26+02:00,0
T1078.003  - ,1,2024-06-19T11:07:28+02:00,2024-06-19T11:07:28+02:00,0
